TIP_DOCUM_CLI|COD_DOCUM_CLI
RUC|20286703110
RUC|20287303492
RUC|20287321806
RUC|20288291595
RUC|20288939498
RUC|20289364600
RUC|20290774102
RUC|20291457097
RUC|20292890932
RUC|20293181234
RUC|20293431109
RUC|20293847038
RUC|20293877964
RUC|20294112805
RUC|20294448544
RUC|20294793217
RUC|20294921312
RUC|20295458551
RUC|20295849585
RUC|20296514269
RUC|20296949745
RUC|20297274903
RUC|20297543653
RUC|20297624149
RUC|20297878914
RUC|20297890965
RUC|20298229138
RUC|20298311900
RUC|20298736820
RUC|20298950741
RUC|20299206301
RUC|20299271464
RUC|20299634443
RUC|20299660525
RUC|20299742840
RUC|20299871224
RUC|20300116192
RUC|20300166611
RUC|20300499938
RUC|20300984399
RUC|20301655607
RUC|20301795441
RUC|20302012645
RUC|20302083666
RUC|20302802026
RUC|20302861201
RUC|20302871427
RUC|20302906158
RUC|20303495984
RUC|20303835327
RUC|20303904159
RUC|20304154269
RUC|20304913780
RUC|20305284174
RUC|20305698220
RUC|20305840158
RUC|20306648501
RUC|20306670264
RUC|20307069432
RUC|20307113431
RUC|20307473217
RUC|20307675430
RUC|20307713382
RUC|20308100317
RUC|20308491081
RUC|20311156803
RUC|20312182417
RUC|20312943558
RUC|20314801327
RUC|20315568995
RUC|20315961221
RUC|20316056017
RUC|20318011339
RUC|20318018856
RUC|20319367722
RUC|20320731314
RUC|20322736704
RUC|20322846046
RUC|20323826651
RUC|20325722941
RUC|20327370058
RUC|20327397258
RUC|20330024080
RUC|20330517949
RUC|20330611023
RUC|20330667835
RUC|20330822661
RUC|20331066371
RUC|20331119751
RUC|20331469905
RUC|20331633390
RUC|20331812219
RUC|20331826279
RUC|20332515641
RUC|20332524390
RUC|20332633920
RUC|20332637241
RUC|20332643488
RUC|20332678516
RUC|20332940008
RUC|20333027462
RUC|20333336252
RUC|20333336929
RUC|20333483395
RUC|20333931304
RUC|20335459165
RUC|20335737319
RUC|20336260702
RUC|20337007253
RUC|20337245600
RUC|20338094842
RUC|20338231009
RUC|20338299819
RUC|20338570041
RUC|20338877103
RUC|20339267821
RUC|20339833011
RUC|20339887960
RUC|20340729146
RUC|20340843607
RUC|20341534187
RUC|20342440143
RUC|20342622331
RUC|20342835679
RUC|20343079461
RUC|20343284714
RUC|20343301660
RUC|20344868671
RUC|20344868752
RUC|20344873080
RUC|20345363921
RUC|20345498266
RUC|20345707957
RUC|20345893726
RUC|20346680351
RUC|20346862387
RUC|20347500845
RUC|20347638529
RUC|20347721779
RUC|20348266684
RUC|20348735692
RUC|20348800699
RUC|20349027985
RUC|20349751080
RUC|20350098250
RUC|20350912976
RUC|20350916882
RUC|20351410061
RUC|20351575574
RUC|20352471578
RUC|20352931323
RUC|20353607783
RUC|20354091659
RUC|20354180911
RUC|20354243777
RUC|20355198236
RUC|20356201923
RUC|20359748656
RUC|20359847042
RUC|20361804041
RUC|20362944857
RUC|20363003291
RUC|20364000643
RUC|20364946113
RUC|20365809179
RUC|20366164741
RUC|20366214861
RUC|20366355091
RUC|20367062283
RUC|20367209217
RUC|20368807916
RUC|20368844102
RUC|20368889971
RUC|20369027957
RUC|20369532848
RUC|20370816710
RUC|20371703137
RUC|20371892193
RUC|20372420040
RUC|20372614324
RUC|20373468704
RUC|20374518519
RUC|20374548779
RUC|20374951824
RUC|20375069238
RUC|20376303811
RUC|20376685081
RUC|20376918794
RUC|20377299494
RUC|20377373562
RUC|20377735146
RUC|20377966628
RUC|20378090556
RUC|20378726876
RUC|20378748179
RUC|20379252843
RUC|20379559141
RUC|20380318211
RUC|20380364591
RUC|20380632943
RUC|20380748062
RUC|20380809622
RUC|20381005136
RUC|20381032702
RUC|20381041442
RUC|20381166491
RUC|20381379567
RUC|20382302045
RUC|20382367091
RUC|20382837402
RUC|20382984537
RUC|20383042322
RUC|20384046011
RUC|20384518126
RUC|20384522581
RUC|20384727558
RUC|20385105259
RUC|20385338865
RUC|20385612860
RUC|20385784482
RUC|20386115185
RUC|20386242535
RUC|20386362603
RUC|20386511617
RUC|20386943088
RUC|20387623621
RUC|20388068664
RUC|20388091640
RUC|20388121816
RUC|20388173611
RUC|20388710994
RUC|20388739895
RUC|20389153045
RUC|20389153479
RUC|20389600831
RUC|20389601137
RUC|20390221500
RUC|20390237171
RUC|20390606479
RUC|20391031178
RUC|20392487868
RUC|20392535773
RUC|20392535935
RUC|20392543288
RUC|20392572628
RUC|20392573357
RUC|20392582267
RUC|20392618989
RUC|20392620533
RUC|20392622749
RUC|20392632205
RUC|20392633279
RUC|20392668650
RUC|20392683021
RUC|20392686046
RUC|20392711334
RUC|20392753339
RUC|20392754815
RUC|20392770691
RUC|20392783084
RUC|20392865307
RUC|20392888692
RUC|20392900145
RUC|20392902946
RUC|20392908804
RUC|20392983768
RUC|20392990110
RUC|20393007614
RUC|20393012707
RUC|20393018900
RUC|20393088193
RUC|20393205505
RUC|20393214679
RUC|20393220059
RUC|20393273411
RUC|20393332523
RUC|20393338483
RUC|20393342596
RUC|20393410184
RUC|20393417430
RUC|20393433125
RUC|20393487721
RUC|20393506611
RUC|20393533693
RUC|20393535475
RUC|20393598043
RUC|20393623846
RUC|20393667118
RUC|20393696720
RUC|20393713837
RUC|20393718391
RUC|20393815087
RUC|20393836165
RUC|20393836831
RUC|20393850311
RUC|20393871581
RUC|20393897971
RUC|20393904187
RUC|20393910233
RUC|20393937948
RUC|20393955253
RUC|20393987538
RUC|20393989077
RUC|20394001113
RUC|20394019322
RUC|20394090469
RUC|20395419715
RUC|20396631041
RUC|20397197540
RUC|20397885861
RUC|20398211414
RUC|20398786158
RUC|20399222070
RUC|20399321051
RUC|20400201529
RUC|20400364070
RUC|20401052713
RUC|20401507818
RUC|20401722972
RUC|20401730134
RUC|20402271991
RUC|20402455536
RUC|20402954451
RUC|20402973677
RUC|20403140750
RUC|20403335097
RUC|20403809811
RUC|20404015983
RUC|20404175913
RUC|20404717317
RUC|20404974557
